ts,activity,id,tag
98.939162,5,68,f
98.939162,5,69,s
99.294882,3,75,f
99.294882,4,75,s
99.399674,6,66,f
99.399674,6,67,s
99.492907,2,76,f
99.492907,3,76,s
99.492907,2,77,s
99.560367,4,75,f
99.570432,6,67,f
99.570432,6,68,s
99.935284,1,79,f
99.935284,1,80,s
99.940244,5,69,f
99.940244,5,70,s
100.055759,2,77,f
100.055759,2,78,s
100.704193,5,70,f
100.704193,5,71,s
101.019723,3,76,f
101.019723,4,76,s
101.019723,3,77,s
101.226518,4,76,f
101.353585,2,78,f
101.353585,2,79,s
101.45045,5,71,f
101.45045,5,72,s
101.484434,3,77,f
101.484434,4,77,s
101.484434,3,78,s
101.602707,1,80,f
101.602707,1,81,s
101.613933,1,81,f
101.613933,1,82,s
101.786379,2,79,f
101.786379,2,80,s
101.801041,5,72,f
101.801041,5,73,s
102.246603,1,82,f
102.246603,1,83,s
102.352893,3,78,f
102.352893,3,79,s
102.538204,5,73,f
102.538204,5,74,s
102.597188,6,68,f
102.597188,6,69,s
102.64836,4,77,f
102.64836,4,78,s
102.670978,5,74,f
102.670978,5,75,s
102.957551,3,79,f
103.28801,5,75,f
103.28801,5,76,s
103.77958,5,76,f
103.77958,5,77,s
103.903359,4,78,f
103.903359,4,79,s
103.910044,1,83,f
103.910044,1,84,s
103.933775,4,79,f
103.936992,5,77,f
103.936992,5,78,s
103.996542,2,80,f
103.996542,3,80,s
103.996542,2,81,s
104.068391,5,78,f
104.068391,5,79,s
104.135043,3,80,f
104.135043,4,80,s
104.261152,2,81,f
104.261152,3,81,s
104.261152,2,82,s
104.344202,1,84,f
104.344202,1,85,s
104.632182,2,82,f
104.632182,2,83,s
104.735231,3,81,f
104.735231,3,82,s
104.834704,3,82,f
105.034351,2,83,f
105.034351,3,83,s
105.034351,2,84,s
105.102682,1,85,f
105.102682,1,86,s
105.378029,6,69,f
105.378029,6,70,s
105.457731,1,86,f
105.731712,6,70,f
105.731712,6,71,s
105.823994,1,87,s
106.082537,3,83,f
106.294886,5,79,f
106.465621,1,87,f
107.134646,6,71,f
107.134646,6,72,s
107.391848,2,84,f
107.391848,3,84,s
107.391848,2,85,s
107.552561,3,84,f
107.649181,6,72,f
107.649181,6,73,s
107.706891,4,80,f
107.706891,5,80,s
107.706891,4,81,s
108.525863,5,80,f
108.644123,1,88,s
108.682802,4,81,f
108.682802,5,81,s
108.682802,4,82,s
108.885363,5,81,f
108.984132,4,82,f
108.984132,5,82,s
108.984132,4,83,s
109.194562,5,82,f
109.358184,4,83,f
109.358184,5,83,s
109.358184,4,84,s
109.586606,5,83,f
109.644867,2,85,f
109.644867,3,85,s
109.644867,2,86,s
110.033842,6,73,f
110.033842,6,74,s
110.082575,6,74,f
110.082575,6,75,s
110.443818,1,88,f
110.443818,1,89,s
110.465955,2,86,f
110.465955,2,87,s
110.555543,3,85,f
110.555543,3,86,s
110.565045,6,75,f
110.565045,6,76,s
110.684686,4,84,f
