id,activity,ts
8569,5,2863.6
8580,4,2864.3
8583,1,2864.3
8580,5,2864.3
8581,4,2864.4
8584,1,2864.4
8581,5,2864.4
8578,3,2865.1
8585,1,2865.1
8578,5,2865.2
8575,2,2865.4
8586,1,2865.4
8575,5,2865.4
8579,3,2866.3
8587,1,2866.3
8579,5,2866.3
8583,4,2867.1
8588,1,2867.1
8583,5,2867.1
8585,3,2867.3
8589,1,2867.3
8585,5,2867.3
8582,2,2867.4
8590,1,2867.4
8582,5,2867.5
8584,4,2867.6
8591,1,2867.6
8584,5,2867.7
8587,3,2868
8592,1,2868
8587,5,2868
8589,3,2868.6
8593,1,2868.6
8589,5,2868.7
8588,4,2868.9
8594,1,2868.9
8588,5,2868.9
8592,3,2869.2
8595,1,2869.2
8592,5,2869.3
8593,3,2869.4
8596,1,2869.4
8593,5,2869.4
8586,2,2869.6
8597,1,2869.6
8586,5,2869.6
8591,4,2870.2
8598,1,2870.2
8591,5,2870.2
8595,3,2870.7
8599,1,2870.7
8595,5,2870.7
8590,2,2871.7
8600,1,2871.7
8590,5,2871.7
8596,3,2872.2
8601,1,2872.2
8596,5,2872.3
8594,4,2873.1
8602,1,2873.1
8594,5,2873.1
8597,2,2873.5
8603,1,2873.5
8597,5,2873.5
8599,3,2873.8
8604,1,2873.8
8599,5,2873.9
8598,4,2874
8605,1,2874
8598,5,2874.1
8601,3,2874.6
8606,1,2874.6
8601,5,2874.7
8602,4,2874.7
8607,1,2874.7
8602,5,2874.8
8605,4,2875
8608,1,2875
8605,5,2875.1
8604,3,2875.4
8609,1,2875.4
8604,5,2875.4
8606,3,2875.5
8610,1,2875.5
8600,2,2875.6
8611,1,2875.6
8606,5,2875.6
8600,5,2875.6
8609,3,2875.7
8612,1,2875.7
8609,5,2875.7
8610,3,2876
8613,1,2876
8610,5,2876.1
8603,2,2877.6
8614,1,2877.6
8603,5,2877.7
8612,3,2879.4
8615,1,2879.4
8611,2,2879.4
8612,5,2879.4
8616,1,2879.4
8611,5,2879.4
8607,4,2879.9
8617,1,2879.9
8607,5,2880
8613,3,2880.3
8618,1,2880.3
8613,5,2880.3
8615,3,2880.6
8619,1,2880.6
8615,5,2880.6
8608,4,2880.9
8620,1,2880.9
8608,5,2880.9
